Perf,Perf_rep
2.531112,3.249382
1.159763,0.999505
0.442385,0.373488
2.084380,3.701282
8.052935,15.183768
4.419300,6.939865
4.241644,5.116236
4.492584,5.580263
1.308597,1.225216
6.889182,8.687083
7.007289,9.626753
1.012284,1.470969
7.906793,9.956549
9.335963,13.129462
1.561258,2.417804
2.513866,3.403464
7.112098,8.763365
5.285779,6.615941
4.757764,6.678485
1.014801,1.309696
2.876255,4.473787
7.967430,9.582762
2.945625,3.356561
1.268076,1.219627
1.763723,2.188008
3.085426,4.674447
1.188731,1.037080
1.602665,1.587223
1.000010,1.144171
8.038354,11.302638
2.686292,3.421257
0.876238,1.066656
1.876319,2.468420
1.122085,1.505415
1.403567,1.815750
4.844445,6.155761
0.389332,0.459317
0.804628,0.855784
3.000155,8.899798
18.294745,26.784500
2.269339,3.650114
1.203447,3.003584
4.808471,8.091541
1.157766,1.626609
3.798418,5.734992
1.020545,1.385861
16.982412,17.050468
3.610657,4.559524
11.607532,14.177133
3.478342,4.291184
6.523607,8.081571
2.531307,3.713938
0.973519,1.817433
10.034194,12.199244
7.688424,9.181464
1.314537,1.650003
6.509559,7.302953
3.362174,4.236391
6.553480,7.114423
2.920688,3.565199
2.860395,3.418047
1.418751,1.930332
3.041955,3.685556
3.843737,4.517894
2.040676,2.777312
1.375470,1.686718
2.882555,3.802561
3.603515,4.502706
5.829427,6.907750
3.570147,3.817463
1.383414,1.675617
1.209477,1.523676
14.794135,16.270308
3.249455,3.063541
1.787256,1.903398
1.000872,2.549251
4.900169,6.423378
2.022053,3.117515
1.092446,1.612384
5.255466,6.607633
0.506294,0.755778
7.391204,9.762878
2.937302,3.995478
1.299519,1.903876
3.639532,5.341626
1.980724,1.880825
2.462784,3.159804
6.062028,7.636203
2.291430,2.800246
0.653053,0.613322
3.437447,4.328989
4.678286,6.020978
2.017076,2.843577
1.400235,1.635457
2.797342,3.115555
4.136330,4.921721
5.259085,5.352561
4.099294,4.535293
5.125742,6.136259
6.911403,8.346662
5.074806,7.353062
0.991405,1.243439
1.206083,1.212223
2.009399,2.025283
0.654275,0.846465
4.247360,5.177519
5.934251,5.543925
2.078292,2.588853
1.451503,1.224034
5.027212,9.381877
0.216893,0.285570
2.152274,5.523073
1.748846,2.197729
15.669110,13.463761
1.758168,2.277393
5.368946,5.114977
17.802128,24.442586
3.568408,4.227955
3.868056,5.249047
3.277051,6.949977
3.113368,4.230551
8.087500,9.251280
12.959413,12.959674
5.662332,5.163589
0.256943,0.433802
1.786310,2.245994
3.723640,4.513347
2.814747,2.672511
2.528555,2.769659
1.066406,1.118122
1.776821,1.915041
8.972484,11.280516
1.431502,1.852072
0.715529,0.742212
1.056853,1.228438
4.985118,5.520904
5.791946,6.136163
5.654841,5.885929
9.536529,11.445927
11.866032,13.966027
0.523194,0.537633
0.566249,0.694113
3.074841,3.872886
5.085469,6.364551
5.921120,7.515255
4.011955,4.581305
3.467385,3.625204
1.305162,1.290077
2.138455,2.829790
4.601620,7.080850
4.648827,5.359432
10.085387,8.803986
5.378099,6.100437
1.470123,3.537397
5.417002,5.158216
0.811236,0.958627
1.347157,2.903115
4.845589,7.589576
4.244191,8.573708
0.490546,0.430308
2.113342,2.182605
0.400570,0.336896
1.278947,4.537553
3.103183,5.689981
0.258469,0.691832
4.706562,11.590280
0.473573,1.051124
1.387189,3.553094
1.457471,1.812350
7.166125,13.360440
1.379062,2.994820
1.028450,2.255643
2.256675,1.965381
1.232489,1.443072
0.614172,1.184206
2.723512,5.458806
8.732402,10.402865
0.853473,0.792497
1.748496,2.235069
1.852663,1.945609
6.072907,7.373881
2.295165,2.274223
4.407227,5.227765
8.586970,10.080797
0.934628,1.097873
3.159075,3.425362
1.060745,1.453890
9.036595,9.827186
8.841093,9.746289
19.723283,22.759678
0.601975,1.375527
0.458628,0.662468
3.726508,5.926002
19.039326,25.115341
5.424397,10.180859
0.589437,0.707471
0.375125,0.801676
10.373506,14.525622
6.694170,12.357106
2.010422,1.881959
1.234910,1.132471
3.025962,7.463165
1.104082,2.640683
0.978789,0.845899
0.902733,0.857891
1.612783,3.750778
1.470143,3.119116
0.400106,0.726683
5.166704,11.354204
4.431724,9.280679
2.220561,4.399857
2.818690,6.150507
22.580814,22.522432
27.331574,37.169301
12.931390,11.152826
5.058308,4.408826
5.537262,8.179268
0.163313,0.372511
1.125899,2.511239
3.249816,4.942995
0.542626,0.709893
4.828419,7.495644
0.251254,0.297130
1.136419,1.915683
1.853975,3.446202
0.540453,0.777303
1.436299,2.421102
2.080529,3.132278
0.357780,0.338071
2.140993,2.193609
0.569723,1.260087
0.583477,0.535106
0.946625,0.812260
0.765636,1.652745
1.631818,2.658375
0.655039,1.559371
1.217747,2.882783
1.024452,2.422337
1.200475,2.470485
2.486191,4.912361
7.144815,18.191586
0.226905,0.530773
2.108203,2.842772
0.247627,0.352957
2.140645,3.401084
0.905714,1.526977
0.944996,1.937768
1.121360,0.966285
5.749715,11.506673
8.095800,9.879935
0.455508,0.478463
4.481055,4.591037
6.433828,7.886005
2.151107,2.741152
0.929537,1.132007
0.671739,0.636372
2.655001,3.179323
6.398997,6.445310
2.364058,2.406888
9.524368,11.796407
7.008650,8.587613
1.438667,1.905207
1.347324,1.471179
0.719554,0.949409
3.913518,4.810371
1.255054,1.583273
1.396389,1.833641
3.256819,4.045334
1.525501,2.004181
0.152907,0.170548
0.293474,0.368726
2.525384,2.997574
0.733469,0.775673
3.460922,4.351800
4.446835,5.450391
2.851673,3.034086
3.268658,3.605546
4.875417,6.029204
1.716969,2.397585
0.827203,0.835723
14.920009,25.700325
1.627840,1.697036
1.966021,2.556671
2.135450,2.672576
6.643780,8.343921
1.903161,2.421499
0.522261,0.603060
0.258638,0.277497
0.332197,0.647137
2.871302,3.417127
2.101484,3.197126
0.252589,0.513145
6.561185,6.703480
6.692351,6.173938
0.885197,1.106164
2.357291,2.936981
6.174366,5.885172
1.502384,1.920729
0.448817,0.437251
0.555187,1.344098
2.507028,4.540653
2.564748,5.886678
0.568015,1.297313
1.038811,0.980733
0.903326,2.111911
1.690452,3.454092
4.104992,8.958817
2.120772,4.135115
1.622029,2.021127
0.161821,0.294645
1.965776,1.820378
0.894010,1.966447
13.465664,17.621186
4.123372,6.553813
3.249436,4.327880
1.956125,2.215283
1.785439,2.399187
0.746926,0.835372
6.378491,7.052894
3.085783,3.799068
1.897293,2.262609
2.132180,1.952579
3.402261,4.542098
0.318858,0.482763
0.003282,0.008945
1.953045,3.618684
0.139970,0.192188
5.416201,7.017782
3.454238,3.188508
13.575447,11.802439
2.745673,5.101473
1.053038,2.162080
2.831306,3.169281
1.495375,1.843737
3.581711,4.106010
4.025807,4.907648
10.766908,15.116829
1.207559,1.449449
3.364500,4.198898
0.625592,0.817570
2.710764,3.218148
0.546662,0.697111
0.721867,1.033542
0.512416,0.497133
1.354286,1.717357
1.685531,2.251366
2.669733,3.033164
1.446989,2.778804
0.562315,1.331279
2.493186,3.192685
1.282204,1.396302
1.137426,1.663166
1.301261,1.902991
2.512371,3.354736
0.697806,1.005323
1.275305,1.805924
1.322175,1.793488
4.659637,5.646191
1.760991,1.634163
0.843426,1.118427
0.369786,0.783707
3.416710,7.278543
1.434136,3.506083
1.367031,2.916417
6.189958,8.314763
4.520149,6.030775
1.402829,1.727161
1.339896,1.633934
2.638961,3.288457
1.521800,1.956530
2.275164,2.972592
3.639352,5.595780
3.154921,4.750883
3.003852,4.629487
1.088450,2.354777
1.067180,2.230566
0.484604,0.430373
1.859621,3.207260
4.529207,7.653267
2.327829,3.448832
1.944015,2.648834
2.305787,2.864977
1.193714,1.543835
0.978557,1.221843
0.970786,1.811196
1.849946,2.649127
4.759540,5.379012
3.360785,4.142023
2.612652,4.097583
3.046252,3.507442
4.022531,5.306713
7.018076,9.695087
2.086203,2.727677
0.343339,0.334673
0.912815,0.868886
3.471068,7.215214
13.058107,15.685352
1.851047,2.537365
0.798464,0.709997
2.941397,4.962572
1.450650,3.399235
0.988167,1.911560
1.284432,3.445664
0.489456,1.115081
0.941446,2.658119
0.750160,1.269873
1.002758,2.559760
0.389837,0.329011
1.436217,3.230696
1.173692,1.351213
0.701492,0.733429
2.088793,3.827725
3.697038,6.881160
4.192541,7.642431
5.653473,10.947049
1.286521,2.943701
0.703765,1.567002
1.281754,2.038696
5.746357,5.397543
1.755565,2.337654
4.114208,3.749929
1.149906,1.550648
1.090444,1.067017
1.183812,3.138699
0.132803,0.155191
0.729476,2.111501
5.041646,4.556133
1.566998,2.512033
1.308174,1.724846
0.573538,1.519883
0.503145,1.307216
0.699461,1.729060
1.118813,2.981978
1.725002,4.629939
1.137919,1.038228
1.390601,1.738946
1.881474,1.768741
0.604247,0.947092
2.667789,4.854703
0.645034,0.634609
1.619062,3.618073
0.261438,0.712177
0.526023,1.454203
3.900301,6.979738
0.265912,0.934389
2.186689,2.658866
1.849912,2.264589
7.623882,8.133483
1.105509,1.358098
4.483227,5.706158
3.318515,4.137729
0.822591,1.050210
0.346450,0.439849
0.987855,1.293747
1.504933,1.425803
1.465176,1.398451
1.774339,2.702706
1.605913,2.645583
0.092266,0.138432
3.008042,5.206943
0.446884,0.536213
0.304651,0.396090
4.020058,5.200097
0.656987,0.845806
3.307634,3.498145
3.407513,4.432664
1.691436,1.969605
2.488537,3.456935
0.527029,0.708035
2.198317,2.803739
1.436216,2.102472
1.230895,1.710954
1.936665,2.858359
1.304876,1.381909
1.161138,2.470318
0.967393,1.177551
0.598987,0.603717
2.122937,2.516012
0.650727,0.845878
0.278221,0.344020
9.383813,12.674733
3.843520,6.263570
2.665012,3.034782
2.882631,3.735982
0.454562,0.618375
1.935775,2.627801
0.948286,1.091935
3.977126,4.886159
1.915159,2.383070
1.138900,1.258314
1.682053,2.020503
0.563018,0.691175
1.192565,1.592651
3.596836,4.110532
2.860754,5.475364
1.347039,1.806002
0.712974,0.637686
9.436058,13.941729
4.108995,5.279913
0.951911,0.945477
3.827602,4.732127
2.341603,2.768033
1.221438,1.414562
3.551376,3.641094
3.123484,3.770671
12.112723,14.960430
4.492105,5.804677
0.890435,1.076458
1.131446,1.419330
1.091458,1.304568
1.619057,2.063698
2.702609,3.541987
1.332691,1.679000
